SERVICE_TAG,GROUP_NAME,FUNCTIONAL_GROUP_NAME,ROW,RACK,USLOT,BMC_IP
ABCD01,SU1,slurm_control_node_x86_64,1,1,1,172.17.107.60
ABCD02,SU1,slurm_control_node_x86_64,1,1,2,172.17.107.61
ABCD03,SU1,slurm_node_x86_64,1,1,3,172.17.107.62
ABCD04,SU1,slurm_node_x86_64,1,1,4,172.17.107.63
ABCD05,SU1,slurm_node_x86_64,1,1,5,172.17.107.64
ABCD06,SU2,service_kube_control_plane_x86_64,1,2,1,172.17.107.80
ABCD07,SU2,service_kube_node_x86_64,1,2,3,172.17.107.82
ABCD08,SU2,service_kube_node_x86_64,1,2,2,172.17.107.81
ABCD09,SU2,service_kube_node_x86_64,1,2,4,172.17.107.83
ABCD10,SU2,service_kube_node_x86_64,1,2,5,172.17.107.84
ABCD11,SU3,login_node_x86_64,2,1,1,172.17.108.10
ABCD12,SU3,login_node_x86_64,2,1,2,172.17.108.11
ABCD13,SU3,login_compiler_node_x86_64,2,1,4,172.17.108.13
ABCD14,SU3,login_compiler_node_x86_64,2,1,3,172.17.108.12
ABCD15,SU3,login_compiler_node_x86_64,2,1,5,172.17.108.14
ABCD16,SU4,login_node_aarch64,2,2,2,172.17.108.31
ABCD17,SU4,login_node_aarch64,2,2,3,172.17.108.32
ABCD18,SU4,login_node_aarch64,2,2,1,172.17.108.30
ABCD19,SU4,login_node_aarch64,2,2,4,172.17.108.33
ABCD20,SU4,login_node_aarch64,2,2,5,172.17.108.34
