SERVICE_TAG,GROUP_NAME,FUNCTIONAL_GROUP_NAME,ROW,RACK,USLOT,BMC_IP
ABCD12,grp0,service_kube_control_plane_x86_64,1,1,1,100.20.107.60
ABFG34,grp0,service_kube_node_x86_64,1,1,2,100.20.107.61
ABCD78,grp1,slurm_node_aarch64,1,1,3,100.20.107.62
ABFG78,grp1,slurm_node_aarch64,1,1,4,100.20.107.63
ABFH78,grp1,slurm_node_aarch64,1,1,5,100.20.107.64
ABFH80,grp1,slurm_node_aarch64,1,1,6,100.20.107.65
ABFH81,grp1,slurm_node_aarch64,1,1,7,100.20.107.66
ABFH82,grp1,slurm_node_aarch64,1,1,8,100.20.107.67
ABFG79,grp1,slurm_control_node_x86_64,1,1,9,100.20.107.68
ABKD88,grp0,os_x86_64,1,2,1,100.20.108.10
ABKD89,grp0,os_x86_64,1,2,2,100.20.108.11
ABKD90,grp0,os_x86_64,1,2,3,100.20.108.12
ABKD91,grp0,os_x86_64,1,2,4,100.20.108.13
ABNA78,grp1,login_node_x86_64,1,2,5,100.20.108.14
ABNA80,grp1,login_node_x86_64,1,2,6,100.20.108.15
ABNA81,grp1,login_node_x86_64,1,2,7,100.20.108.16
ABNA82,grp1,login_node_x86_64,1,2,8,100.20.108.17
ABFL82,grp1,login_compiler_node_aarch64,1,2,9,100.20.108.18
ABFL83,grp1,login_compiler_node_aarch64,1,2,10,100.20.108.19
ABFL84,grp1,login_compiler_node_aarch64,1,2,11,100.20.108.20
ABFL85,grp1,login_compiler_node_aarch64,1,2,12,100.20.108.21
